family,n_qubits,depth_setting,PC1,PC2,PC3,UMAP1,UMAP2
symmetry_xy,6.0,3.0,0.9807234303747956,-0.529079529258102,0.8903618857842529,6.449111,12.602
symmetry_xy,6.0,4.0,0.48636499361843466,-0.45377804096040225,0.7964847614534435,6.133783,12.995103
symmetry_xy,6.0,5.0,0.3841532931029825,-0.44990302890795936,0.9980570758908421,6.338161,13.164879
symmetry_xy,8.0,1.0,5.3802646209060665,4.487392432542368,-0.26021181767084084,5.9631643,11.2314825
symmetry_xy,8.0,2.0,1.6008905221025524,0.5145925580261572,-0.02165433389877286,5.873933,11.714235
symmetry_xy,8.0,3.0,0.8047945808562289,-0.1279738235414385,0.5499948529763556,5.943598,12.589969
symmetry_xy,8.0,4.0,0.2752681410501175,-0.15968090641701282,0.4965180154881854,5.667159,13.149394
symmetry_xy,8.0,5.0,0.11692933037759784,-0.17369008139128694,0.7099722175891717,5.552603,13.695665
ttn,4.0,1.0,1.8529673302163348,-0.9000455675218065,-0.8805257496377269,5.005229,11.092028
ttn,4.0,2.0,0.8943731959803581,-0.8414110938517056,-0.44156615772702373,4.414713,11.614317
ttn,4.0,3.0,0.303672728040833,-0.6247268036837412,-0.06006750958454306,4.4841537,12.310947
ttn,4.0,4.0,0.24492172109069943,-0.6116348186732586,0.0827578321756578,4.7273307,12.519746
ttn,4.0,5.0,-0.003963938026803371,-0.444348090447142,0.27236918803240157,5.062857,13.189214
ttn,6.0,1.0,1.4936439421400949,-0.7790530032930357,-1.2614462765876586,4.5868106,10.811472
ttn,6.0,2.0,0.7005930310438454,-0.7155748749673196,-0.9738766397624121,3.9217436,11.220252
ttn,6.0,3.0,0.3224694337641399,-0.5740438929378883,-0.7838781286605606,3.7619946,11.511039
ttn,6.0,4.0,-0.3202595056346955,-0.22599217659242646,-0.35018138122888187,2.4210947,12.416594
ttn,6.0,5.0,-0.4065579023604125,-0.20364095460848872,-0.21308336554273768,2.095885,12.587077
ttn,8.0,1.0,1.2589775109165648,-0.65992965378393,-1.5716018080805285,4.364364,10.820731
ttn,8.0,2.0,0.3559045497765796,-0.4321848990123057,-1.1416903112605348,3.6029923,11.320617
ttn,8.0,3.0,0.04591026471373863,-0.4013246118526429,-1.031856838365201,3.3185906,11.646016
ttn,8.0,4.0,-0.6467088574992625,-0.017486729615105105,-0.6138288863894075,1.9442072,12.83704
ttn,8.0,5.0,-0.8267620278083332,0.0633970269350506,-0.4314230817053006,1.3408957,12.955505
