family,n_qubits,depth_setting,instance,seed,effective_hilbert_dim,expressibility_kl,meyer_wallach_mean,meyer_wallach_std,gradient_variance_mean_local_z,gradient_variance_median_local_z,log10_gradient_variance_mean_local_z,mean_abs_gradient_local_z,near_zero_gradient_fraction_local_z,gradient_variance_mean_staggered_z,gradient_variance_median_staggered_z,log10_gradient_variance_mean_staggered_z,mean_abs_gradient_staggered_z,near_zero_gradient_fraction_staggered_z,parameter_count,logical_depth,compiled_depth,total_gate_count,two_qubit_gate_count,connectivity_edges,connectivity_density,mean_degree,max_degree,degree_std,n_components,largest_component_fraction,global_efficiency,avg_shortest_path,diameter,avg_shortest_path_lcc,diameter_lcc,clustering_coefficient,mean_edges_per_layer,std_edges_per_layer,edge_coverage,edge_reuse_fraction
brickwall,4,4,0,204442,16.0,0.0063627994886035,0.7010878234039839,0.1556628084884503,0.0216864978917019,0.0029186188222719,-1.663810575653374,0.0656960834308824,0.4791666666666667,0.0057493877266173,0.0054800644323595,-2.2403784024598803,0.0504335392861802,0.1666666666666666,48.0,8.0,8.0,22.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.5
brickwall,4,4,1,204443,16.0,0.0070648157192812,0.6915949388027596,0.1516549433050157,0.0217625262341879,0.0027245712260417,-1.6622906923430238,0.064261204208325,0.4791666666666667,0.005242209333495,0.0048907746683323,-2.2804856406640126,0.0482627389955073,0.1666666666666666,48.0,8.0,8.0,22.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.5
brickwall,4,4,2,204444,16.0,0.0064633122421924,0.6892818813509877,0.1530091968893843,0.02319373534412,0.0035776491667336,-1.6346293027332186,0.0680042894939208,0.4791666666666667,0.0055148675618647,0.0053965417633475,-2.258464912569567,0.0493520782374907,0.1666666666666666,48.0,8.0,8.0,22.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.5
brickwall,4,4,3,204445,16.0,0.0049700658335152,0.7128001168163594,0.1296093352603059,0.0231325122482523,0.0020208942000603,-1.6357771992092616,0.0684822778208993,0.4791666666666667,0.0052405859369704,0.0045752115360212,-2.2806201529081296,0.0482068067564736,0.1666666666666666,48.0,8.0,8.0,22.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.5
brickwall,4,4,4,204446,16.0,0.0040805975987404,0.7148802988439271,0.1487976275227045,0.0220318937459191,0.0015362081107361,-1.656948171571187,0.0671536974324943,0.4791666666666667,0.0055506082857069,0.0054901595567071,-2.2556594203637945,0.0498134344939914,0.1666666666666666,48.0,8.0,8.0,22.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.5
brickwall,4,4,5,204447,16.0,0.0053205607297217,0.7271879825947372,0.1294759203298615,0.0223608016641688,0.0041640913827289,-1.6505126304777515,0.0658666378884206,0.4791666666666667,0.0053963269523447,0.0051302735231752,-2.267901745194063,0.0486314803382092,0.1666666666666666,48.0,8.0,8.0,22.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.5
brickwall,4,4,6,204448,16.0,0.0031057819774367,0.7215961503161114,0.1452431625537902,0.0210923982196765,0.0017055459057142,-1.6758740378822226,0.0651540495505023,0.4791666666666667,0.0058168291175943,0.0062956438088029,-2.235313694388997,0.0506982565494743,0.1666666666666666,48.0,8.0,8.0,22.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.5
brickwall,4,4,7,204449,16.0,0.0050748720990577,0.7082289881249169,0.1418002432848281,0.0227520766667906,0.0032738524858777,-1.6429789575225835,0.0680281117974944,0.4791666666666667,0.0053508575523372,0.0051126448803589,-2.2715766104268584,0.0485150854651635,0.1666666666666666,48.0,8.0,8.0,22.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.5
brickwall,4,4,8,204450,16.0,0.0073771466175181,0.6976982738764523,0.1425371861847717,0.0215885756184773,0.0014658501005695,-1.665776010812696,0.0634948755780274,0.4791666666666667,0.0054376946694646,0.0055302541509053,-2.264585182016906,0.0499953158604487,0.1666666666666666,48.0,8.0,8.0,22.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.5
brickwall,4,4,9,204451,16.0,0.004221936322242,0.7033626198715585,0.1453602279632792,0.0256794986676112,0.0032933892150894,-1.5904134591084536,0.0724354528932447,0.4791666666666667,0.0052053790279833,0.0048915935944176,-2.283547641990427,0.0483036376085829,0.1666666666666666,48.0,8.0,8.0,22.0,6.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.5,0.5,0.5,0.5
brickwall,4,5,0,204542,16.0,0.002557372413612,0.7537713055045058,0.1223964180632322,0.0217025953171555,9.044410701571838e-33,-1.6634883276942176,0.0669729470325009,0.5333333333333333,0.0054039309406738,0.0053821791022186,-2.267290209664052,0.0507037028253312,0.1333333333333333,60.0,10.0,10.0,28.0,8.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6,0.4898979485566356,0.5,0.625
brickwall,4,5,1,204543,16.0,0.0016412307948645,0.7717454048601717,0.1128944103382474,0.0230024240203474,9.707203223570494e-33,-1.638226395148077,0.0674347589898629,0.5333333333333333,0.0055091004379483,0.0050099766670659,-2.2589193098105347,0.0509780423779354,0.1333333333333333,60.0,10.0,10.0,28.0,8.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6,0.4898979485566356,0.5,0.625
brickwall,4,5,2,204544,16.0,0.0018034164988155,0.757823824066677,0.1172447080261898,0.0203142295767316,9.341577941079263e-33,-1.6921996437741342,0.064392421034694,0.5333333333333333,0.0055995663532854,0.0055326319894356,-2.2518456047201303,0.0516668943490699,0.1333333333333333,60.0,10.0,10.0,28.0,8.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6,0.4898979485566356,0.5,0.625
brickwall,4,5,3,204545,16.0,0.0017333869993004,0.767843724921503,0.1198987529761624,0.0208893408858996,9.4488090339726e-33,-1.6800752629460982,0.0646222882197534,0.5333333333333333,0.0048621332538637,0.0048253018326844,-2.31317314285494,0.0477308646532028,0.1333333333333333,60.0,10.0,10.0,28.0,8.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6,0.4898979485566356,0.5,0.625
brickwall,4,5,4,204546,16.0,0.0018549487026138,0.7720434788855441,0.1193809798467127,0.0204691978958382,9.747867008168431e-33,-1.688899175228871,0.0644697821574033,0.5333333333333333,0.005401049286989,0.0049672272584702,-2.267521859569444,0.0499850684500009,0.1333333333333333,60.0,10.0,10.0,28.0,8.0,3.0,0.5,1.5,2.0,0.5,1.0,1.0,0.7222222222222222,1.6666666666666667,3.0,1.6666666666666667,3.0,0.0,1.6,0.4898979485566356,0.5,0.625
