family,n_qubits,depth_setting,effective_hilbert_dim,expressibility_kl,meyer_wallach_mean,meyer_wallach_std,gradient_variance_mean_local_z,gradient_variance_median_local_z,log10_gradient_variance_mean_local_z,mean_abs_gradient_local_z,near_zero_gradient_fraction_local_z,gradient_variance_mean_staggered_z,gradient_variance_median_staggered_z,log10_gradient_variance_mean_staggered_z,mean_abs_gradient_staggered_z,near_zero_gradient_fraction_staggered_z,parameter_count,logical_depth,compiled_depth,total_gate_count,two_qubit_gate_count,connectivity_edges,connectivity_density,mean_degree,max_degree,degree_std,n_components,largest_component_fraction,global_efficiency,avg_shortest_path,diameter,avg_shortest_path_lcc,diameter_lcc,clustering_coefficient,mean_edges_per_layer,std_edges_per_layer,edge_coverage,edge_reuse_fraction,pareto_quantum
hea_ring,4.0,5.0,16.0,0.00171646622050484,0.8280622668690786,0.07489798308111219,0.02591177524665834,0.029177065423080552,-1.5866095528358732,0.11454222080527102,0.1666666666666666,0.006431927201211959,0.0070557774348583594,-2.1921148777108903,0.05797671195230379,0.1333333333333333,60.0,25.0,25.0,40.0,20.0,4.0,0.6666666666666666,2.0,2.0,0.0,1.0,1.0,0.8333333333333334,1.3333333333333333,2.0,1.3333333333333333,2.0,0.0,4.0,0.0,0.6666666666666666,0.8,True
hea_ring,6.0,1.0,64.0,0.20794074303313007,0.847195547531423,0.11032199061527728,0.00855678904829485,1.5876479461372763e-33,-2.0693458177050723,0.029190123453841137,0.7222222222222222,0.00234529532108693,6.074968449363121e-34,-2.6326124174579837,0.01596226790075339,0.6666666666666666,18.0,7.0,7.0,12.0,6.0,6.0,0.4,2.0,2.0,0.0,1.0,1.0,0.6666666666666666,1.8,3.0,1.8,3.0,0.0,6.0,0.0,0.4,0.0,True
hea_ring,6.0,2.0,64.0,0.0159319450812834,0.9273337113104739,0.04752787182464835,0.00420584359803895,0.0036516002266026603,-2.377206990246795,0.0310344888855408,0.3888888888888889,0.00074984112112331,0.00056562589452373,-3.125939920230613,0.0147748694727727,0.3333333333333333,36.0,14.0,14.0,24.0,12.0,6.0,0.4,2.0,2.0,0.0,1.0,1.0,0.6666666666666666,1.8,3.0,1.8,3.0,0.0,6.0,0.0,0.4,0.5,False
hea_ring,6.0,3.0,64.0,0.0008821861954395801,0.9510984166061794,0.02456383525426935,0.00539172733660453,0.005833227233816339,-2.268896793998248,0.04578611078709375,0.2592592592592592,0.00086545121184595,0.0009523044921892401,-3.0631308851599397,0.01932452579520352,0.22222222222222224,54.0,21.0,21.0,36.0,18.0,6.0,0.4,2.0,2.0,0.0,1.0,1.0,0.6666666666666666,1.8,3.0,1.8,3.0,0.0,6.0,0.0,0.4,0.6666666666666667,False
hea_ring,6.0,4.0,64.0,0.00068582507964943,0.9527439749175184,0.018259602039277102,0.0064214426851086194,0.0071182214211871,-2.1925543233134537,0.05494077804199482,0.1944444444444444,0.0009685057844107499,0.00108022073109411,-3.0140908180460113,0.0218633131526988,0.1666666666666666,72.0,28.0,28.0,48.0,24.0,6.0,0.4,2.0,2.0,0.0,1.0,1.0,0.6666666666666666,1.8,3.0,1.8,3.0,0.0,6.0,0.0,0.4,0.75,False
hea_ring,6.0,5.0,64.0,0.00049071642324769,0.9539846395378898,0.01666206034018147,0.00667487629881799,0.00724666662565661,-2.1756044734705258,0.05813903559416768,0.1555555555555555,0.0010414813658206098,0.00116363606097861,-2.9825636275738288,0.023284534217965037,0.1333333333333333,90.0,35.0,35.0,60.0,30.0,6.0,0.4,2.0,2.0,0.0,1.0,1.0,0.6666666666666666,1.8,3.0,1.8,3.0,0.0,6.0,0.0,0.4,0.8,True
hea_ring,8.0,1.0,256.0,0.20132648409661966,0.8758119090110131,0.08823648054991741,0.00230088107590425,9.334793928407245e-34,-2.646001018879193,0.01258936915490833,0.708375,0.00103788266620556,4.652857982813498e-34,-2.9859660592356745,0.00936822848617604,0.6667083333333333,24.0,9.0,9.0,16.0,8.0,8.0,0.2857142857142857,2.0,2.0,0.0,1.0,1.0,0.5595238095238094,2.2857142857142856,4.0,2.2857142857142856,4.0,0.0,8.0,0.0,0.2857142857142857,0.0,False
hea_ring,8.0,2.0,256.0,0.018042428419402963,0.9377036829178202,0.04069380418877017,0.00102941476114016,0.0008575107000939801,-2.991248901824685,0.014508866564507469,0.375,0.000194481722947,0.00011128647685243797,-3.7133949853810684,0.00670403056103353,0.3333333333333333,48.0,18.0,18.0,32.0,16.0,8.0,0.2857142857142857,2.0,2.0,0.0,1.0,1.0,0.5595238095238094,2.2857142857142856,4.0,2.2857142857142856,4.0,0.0,8.0,0.0,0.2857142857142857,0.5,False
hea_ring,8.0,3.0,256.0,0.0005237933167566999,0.9764569370832861,0.01610581589159135,0.00135325158721625,0.0014592794773013898,-2.8691467109761253,0.02243953015341878,0.25,0.0001650572405679,0.00017046125856928998,-3.7829030342975067,0.008151813701787849,0.22222222222222224,72.0,27.0,27.0,48.0,24.0,8.0,0.2857142857142857,2.0,2.0,0.0,1.0,1.0,0.5595238095238094,2.2857142857142856,4.0,2.2857142857142856,4.0,0.0,8.0,0.0,0.2857142857142857,0.6666666666666667,False
hea_ring,8.0,4.0,256.0,0.0001519878342555789,0.9835935222538847,0.007943748732367379,0.00158586707569402,0.0017404075720540899,-2.7999474172293013,0.027228313208487,0.1875,0.00018466449493425,0.00020701703638602,-3.7340441798678663,0.00944124581144,0.1666666666666666,96.0,36.0,36.0,64.0,32.0,8.0,0.2857142857142857,2.0,2.0,0.0,1.0,1.0,0.5595238095238094,2.2857142857142856,4.0,2.2857142857142856,4.0,0.0,8.0,0.0,0.2857142857142857,0.75,False
